,nctId,eligibilityCriteria,healthyVolunteers,sex,genderBased,minimumAge,maximumAge,stdAges,studyPopulation,samplingMethod,eligibilityCriteria_cleaned,studyPopulation_cleaned
0,NCT06533865,"Inclusion Criteria:

For functional hypothalamic amenorrhea and controls:

* Female, age 14-25 years, skeletally mature with bone age ≥ 14 years (only 2% of growth left)
* For women of reproductive age, agree to use an effective non-hormonal contraceptive method or a progestin releasing intrauterine device (no evidence of systemic skeletal effects) for the study duration
* Negative βHCG (pregnancy test)
* TSH, prolactin, potassium, magnesium within the normal range
* Serum ALT ≤ 3 times upper limit of normal, LDL ≤ 190 mg/dl
* eGFR ≥ 30ml/minute

Additional inclusion criteria for functional hypothalamic amenorrhea:

* Less than 3 menses in the preceding 6 months
* BMD Z-score \< -1.0 at ≥ 1 skeletal site
* Dental check-up within the past year

Exclusion Criteria:

For functional hypothalamic amenorrhea and controls

* Disease other than FHA known to affect bone, including untreated thyroid dysfunction, Cushing's disease, renal failure, diabetes mellitus
* Use of bisphosphonates
* Use of other medications known to affect bone metabolism within 3 months of the study (other than calcium and vitamin D supplementation).
* Substance abuse disorder; current smoker
* History of malignancy or Paget disease of bone
* Pregnant, planning to become pregnant within 12 months after the end of treatment and/or breastfeeding

Additional exclusion criteria for functional hypothalamic amenorrhea

* Cardiovascular: Myocardial infarction or stroke; history of hypertension or use of anti-hypertensive medications
* Immunodeficiency or taking immunosuppressive therapy
* Other conditions that can cause oligo-amenorrhea such as PCOS, premature ovarian insufficiency
* Dental: Osteonecrosis of the jaw (ONJ) or risk factor for ONJ, such as invasive dental procedures (tooth extraction, dental implants, oral surgery in the past 3 months), poor oral hygiene, periodontal and/or pre-existing dental disease, and current use of corticosteroids
* Planned invasive dental procedure over the next 12 months (the duration of the study)
* Known sensitivity or absolute contraindication to any of the products or components of the medications to be administered (romosozumab, zoledronic acid, transdermal estradiol, micronized progesterone, calcium or vitamin D supplements)

Additional exclusion criteria for normal-weight healthy controls

• BMD Z-score \<-2.5 (who we will refer for evaluation)",True,FEMALE,,14 Years,25 Years,"['CHILD', 'ADULT']",,,inclusion criteria   for functional hypothalamic amenorrhea and controls     female  age 14 25 years  skeletally mature with bone age   14 years  only 2  of growth left    for women of reproductive age  agree to use an effective non hormonal contraceptive method or a progestin releasing intrauterine device  no evidence of systemic skeletal effects  for the study duration   negative βhcg  pregnancy test    tsh  prolactin  potassium  magnesium within the normal range   serum alt   3 times upper limit of normal  ldl   190 mg dl   egfr   30ml minute  additional inclusion criteria for functional hypothalamic amenorrhea     less than 3 menses in the preceding 6 months   bmd z score     1 0 at   1 skeletal site   dental check up within the past year  exclusion criteria   for functional hypothalamic amenorrhea and controls    disease other than fha known to affect bone  including untreated thyroid dysfunction  cushing s disease  renal failure  diabetes mellitus   use of bisphosphonates   use of other medications known to affect bone metabolism within 3 months of the study  other than calcium and vitamin d supplementation     substance abuse disorder  current smoker   history of malignancy or paget disease of bone   pregnant  planning to become pregnant within 12 months after the end of treatment and or breastfeeding  additional exclusion criteria for functional hypothalamic amenorrhea    cardiovascular  myocardial infarction or stroke  history of hypertension or use of anti hypertensive medications   immunodeficiency or taking immunosuppressive therapy   other conditions that can cause oligo amenorrhea such as pcos  premature ovarian insufficiency   dental  osteonecrosis of the jaw  onj  or risk factor for onj  such as invasive dental procedures  tooth extraction  dental implants  oral surgery in the past 3 months   poor oral hygiene  periodontal and or pre existing dental disease  and current use of corticosteroids   planned invasive dental procedure over the next 12 months  the duration of the study    known sensitivity or absolute contraindication to any of the products or components of the medications to be administered  romosozumab  zoledronic acid  transdermal estradiol  micronized progesterone  calcium or vitamin d supplements   additional exclusion criteria for normal weight healthy controls    bmd z score    2 5  who we will refer for evaluation,
1,NCT05410886,"Inclusion Criteria:

* Any woman 18-58 years of age
* Secondary amenorrhea defined by either menstrual cycle interval persistently exceeding 45 days and/or those with period loss for 3 months or more

Exclusion Criteria:

* Women who never had periods (primary amenorrhea).",False,FEMALE,,18 Years,58 Years,['ADULT'],All women referred by their GP with amenorrhea to the Endocrinology or Reproductive Medicine clinics at Imperial College Healthcare NHS Trust hospitals and participating NHS organisations.,NON_PROBABILITY_SAMPLE,inclusion criteria     any woman 18 58 years of age   secondary amenorrhea defined by either menstrual cycle interval persistently exceeding 45 days and or those with period loss for 3 months or more  exclusion criteria     women who never had periods  primary amenorrhea,all women referred by their gp with amenorrhea to the endocrinology or reproductive medicine clinics at imperial college healthcare nhs trust hospitals and participating nhs organisations
2,NCT02697136,"Main Inclusion Criteria:

* Male and female patients, aged 18 and above.
* ApoA-I \< 70 mg/dL
* Symptomatic or asymptomatic cardiovascular disease
* Diagnosis of genetically confirmed HDL-c deficiency due to defects in genes coding for ABCA1 and/or ApoA-1
* Stable doses of lipid lowering therapies for at least 6 weeks prior to baseline procedures

Main Exclusion Criteria:

* Females of childbearing potential
* Patients with LCAT mutations
* Patients who experienced recent cardiovascular or cerebrovascular events
* Hypertriglyceridemia (\>500 mg/dL)
* Severe anemia (Hgb \< 10 g/dL)
* Uncontrolled diabetes (HbA1c \>10%)
* Congestive heart failure (NYHA class II or higher)
* Contraindication for MRI scanning (e.g., implanted metal objects, claustrophobia)",False,ALL,,18 Years,,"['ADULT', 'OLDER_ADULT']",,,main inclusion criteria     male and female patients  aged 18 and above    apoa i    70 mg dl   symptomatic or asymptomatic cardiovascular disease   diagnosis of genetically confirmed hdl c deficiency due to defects in genes coding for abca1 and or apoa 1   stable doses of lipid lowering therapies for at least 6 weeks prior to baseline procedures  main exclusion criteria     females of childbearing potential   patients with lcat mutations   patients who experienced recent cardiovascular or cerebrovascular events   hypertriglyceridemia    500 mg dl    severe anemia  hgb    10 g dl    uncontrolled diabetes  hba1c   10     congestive heart failure  nyha class ii or higher    contraindication for mri scanning  e g   implanted metal objects  claustrophobia,
3,NCT00453219,"Inclusion Criteria:

* Inclusion criteria for participation are a gynecological age (age since menarche) \> 5 and \< 25 years, and chronological age \> 18 years, within 90-110% of ideal body weight as determined by the 1983 Metropolitan height and weight table for women, and exercise \< 10 h/wk and run \< 10 mi/wk, day-awake/night-asleep schedule.
* Women in the FHA and PCOS groups have to fulfill the diagnostic criteria of FHA or PCOS and to have all other causes of amenorrhea and anovulation excluded.

Exclusion Criteria:

* Exclusion criteria are smoking, medications, including psychotropic or illicit drugs, medical, neurological, or ophthalmologic disease except acuity problems, a weight loss or gain of \> 10 lb within a year preceding or since the onset of amenorrhea, a major Axis I disorder other than depression, parturition in the last 12 months and/or lactating in the last 6 months.",True,FEMALE,,18 Years,35 Years,['ADULT'],Women ages 18-35,NON_PROBABILITY_SAMPLE,inclusion criteria     inclusion criteria for participation are a gynecological age  age since menarche     5 and    25 years  and chronological age    18 years  within 90 110  of ideal body weight as determined by the 1983 metropolitan height and weight table for women  and exercise    10 h wk and run    10 mi wk  day awake night asleep schedule    women in the fha and pcos groups have to fulfill the diagnostic criteria of fha or pcos and to have all other causes of amenorrhea and anovulation excluded   exclusion criteria     exclusion criteria are smoking  medications  including psychotropic or illicit drugs  medical  neurological  or ophthalmologic disease except acuity problems  a weight loss or gain of    10 lb within a year preceding or since the onset of amenorrhea  a major axis i disorder other than depression  parturition in the last 12 months and or lactating in the last 6 months,women ages 18 35
4,NCT00870350,"Inclusion Criteria:

* healthy subject
* 14-15 years old
* eligible for their school-leaving booster for DTP
* received a complete primary vaccination with a 5-component acellular pertussis vaccine (DT5aP-IPV-Hib) at 3, 5 and 12 months of age and vaccinated with a 5-component acellular pertussis vaccine (Td5aP-IPV or Td5aP + IPV) as a booster at 5½ years of age
* informed consent form signed by the subject and parent(s)/legal representative
* subject understand and comply with the study procedures (i.e. able to read and write Swedish)
* female must provide an agreement that they are either sexually continent or practice adequate contraceptive methods (intra-uterine contraceptive device (IUCD), hormonal contraceptives, condoms or other adequate barrier contraception).

Exclusion Criteria:

* acute febrile illness or axillary temperature ≥38.0°C at the time of vaccination
* receipt of immunoglobulin within the previous 3 months, immunosuppression (e g evidence of impaired cell mediated immunity, receipt of immunosuppressant drugs within the previous 3 months or receipt of systemic corticosteroids given daily or on alternate days at ≥20 mg/day prednisone equivalent during \>14 days within the past 30 days)
* receipt of a non-study vaccine in the past 30 days
* evolving encephalopathy not attributable to another identifiable cause within 7 days of administration of a previous dose of any vaccine
* booster vaccination with tetanus, low dose diphtheria and acellular pertussis vaccine since the booster vaccination at 5½ years of age
* previous clinical or bacteriological diagnosis of diphtheria, tetanus or pertussis
* hypersensitivity to any component of any of the study vaccines
* current participation in any other clinical trial or participation in any clinical trial in the previous month
* inability to adhere to the protocol, including plans to move from the area
* severe chronic disease
* family history of congenital or hereditary immunodeficiency
* any sever thrombocytopenia or any other coagulation disorder that would contraindicate intramuscular injection
* any medical condition, which in the opinion of the investigator, might interfere with the evaluation of the study objectives.",True,ALL,,14 Years,15 Years,['CHILD'],,,inclusion criteria     healthy subject   14 15 years old   eligible for their school leaving booster for dtp   received a complete primary vaccination with a 5 component acellular pertussis vaccine  dt5ap ipv hib  at 3  5 and 12 months of age and vaccinated with a 5 component acellular pertussis vaccine  td5ap ipv or td5ap   ipv  as a booster at 5½ years of age   informed consent form signed by the subject and parent s  legal representative   subject understand and comply with the study procedures  i e  able to read and write swedish    female must provide an agreement that they are either sexually continent or practice adequate contraceptive methods  intra uterine contraceptive device  iucd   hormonal contraceptives  condoms or other adequate barrier contraception    exclusion criteria     acute febrile illness or axillary temperature  38 0 c at the time of vaccination   receipt of immunoglobulin within the previous 3 months  immunosuppression  e g evidence of impaired cell mediated immunity  receipt of immunosuppressant drugs within the previous 3 months or receipt of systemic corticosteroids given daily or on alternate days at  20 mg day prednisone equivalent during   14 days within the past 30 days    receipt of a non study vaccine in the past 30 days   evolving encephalopathy not attributable to another identifiable cause within 7 days of administration of a previous dose of any vaccine   booster vaccination with tetanus  low dose diphtheria and acellular pertussis vaccine since the booster vaccination at 5½ years of age   previous clinical or bacteriological diagnosis of diphtheria  tetanus or pertussis   hypersensitivity to any component of any of the study vaccines   current participation in any other clinical trial or participation in any clinical trial in the previous month   inability to adhere to the protocol  including plans to move from the area   severe chronic disease   family history of congenital or hereditary immunodeficiency   any sever thrombocytopenia or any other coagulation disorder that would contraindicate intramuscular injection   any medical condition  which in the opinion of the investigator  might interfere with the evaluation of the study objectives,
5,NCT00456274,"Inclusion Criteria:

* Healthy women between the ages of 16-45 years
* Negative pregnancy test
* On no gonadal steroid preparations for at least 3 months, with the exception of the idiopathic hypogonadotropic hypogonadism (IHH) group, they should be off gonadal steroid for at least 4 weeks

The following test will be performed if they had not been done in the last 2 months

* Normal blood count
* Normal thyroid function test

Exclusion Criteria:

* Hemoglobin levels less than 11 gm/dL
* Positive pregnancy test
* Abnormal thyroid function
* Abnormal MRI (IHH)",False,FEMALE,,16 Years,45 Years,"['CHILD', 'ADULT']",,,inclusion criteria     healthy women between the ages of 16 45 years   negative pregnancy test   on no gonadal steroid preparations for at least 3 months  with the exception of the idiopathic hypogonadotropic hypogonadism  ihh  group  they should be off gonadal steroid for at least 4 weeks  the following test will be performed if they had not been done in the last 2 months    normal blood count   normal thyroid function test  exclusion criteria     hemoglobin levels less than 11 gm dl   positive pregnancy test   abnormal thyroid function   abnormal mri  ihh,
6,NCT01185782,"Inclusion Criteria:

* Women aged 20 to 39 years (inclusive) who hope to bear children
* Subjects who failed to achieve ovulation or pregnancy despite 2 cycles or more of anti-estrogen therapies (clomiphene citrate, cyclofenil, etc.)
* Subjects who exhibited withdrawal bleeding in a progesterone test (Includes spontaneous menstruation in subjects with anovulatory cycles.)
* Subjects having a body mass index between 17.0 and 28.0 at the time of baseline tests
* Subjects who voluntarily consented in writing to participate in the clinical trial

Exclusion Criteria:

* Subjects with ovarian tumors
* Subjects with ovarian enlargement not due to PCOS
* Subjects with genitourinary hemorrhage of unknown cause
* Subjects who were or may be pregnant, or who were lactating
* Subjects with history of allergic reaction or hypersensitivity to gonadotropin
* Subjects with dysfunction of heart, lungs, kidneys, or cardiovascular systems of Grade 2 or higher (in compliance with the Pharmaceutical and Medical Safety Bureau Notification Yakuan No. 80 \[issued 29 June 1992\])
* Subjects with serum progesterone (P4) level ≥ 5 ng/mL in baseline tests
* Subjects with malignant tumors
* Subjects with uterine amenorrhea
* Subjects with elevated levels of serum gonadotropin due to premature ovarian failure (FSH ≥ 20 mIU/mL)
* Subjects who were infertile due to known adrenal or thyroid dysfunction
* Subjects who were diagnosed as having hyperprolactinemia
* Subjects who had been documented or suspected of having intracranial lesions (e.g., pituitary tumors)
* Infertile subjects involving gynecological factors other than amenorrhea I or anovulatory cycles, and for whom ovulation induction therapy was found to be contraindicated
* Subjects who had participated in another clinical study within 6 months prior to start of the IMP administration
* Subjects who had been administered SJ-0021 in the past
* Subjects whose participation in this clinical trial was otherwise deemed inappropriate by the investigator or sub-investigator",False,FEMALE,,20 Years,39 Years,['ADULT'],,,inclusion criteria     women aged 20 to 39 years  inclusive  who hope to bear children   subjects who failed to achieve ovulation or pregnancy despite 2 cycles or more of anti estrogen therapies  clomiphene citrate  cyclofenil  etc     subjects who exhibited withdrawal bleeding in a progesterone test  includes spontaneous menstruation in subjects with anovulatory cycles     subjects having a body mass index between 17 0 and 28 0 at the time of baseline tests   subjects who voluntarily consented in writing to participate in the clinical trial  exclusion criteria     subjects with ovarian tumors   subjects with ovarian enlargement not due to pcos   subjects with genitourinary hemorrhage of unknown cause   subjects who were or may be pregnant  or who were lactating   subjects with history of allergic reaction or hypersensitivity to gonadotropin   subjects with dysfunction of heart  lungs  kidneys  or cardiovascular systems of grade 2 or higher  in compliance with the pharmaceutical and medical safety bureau notification yakuan no  80   issued 29 june 1992      subjects with serum progesterone  p4  level   5 ng ml in baseline tests   subjects with malignant tumors   subjects with uterine amenorrhea   subjects with elevated levels of serum gonadotropin due to premature ovarian failure  fsh   20 miu ml    subjects who were infertile due to known adrenal or thyroid dysfunction   subjects who were diagnosed as having hyperprolactinemia   subjects who had been documented or suspected of having intracranial lesions  e g   pituitary tumors    infertile subjects involving gynecological factors other than amenorrhea i or anovulatory cycles  and for whom ovulation induction therapy was found to be contraindicated   subjects who had participated in another clinical study within 6 months prior to start of the imp administration   subjects who had been administered sj 0021 in the past   subjects whose participation in this clinical trial was otherwise deemed inappropriate by the investigator or sub investigator,
7,NCT06471582,"Inclusion Criteria:

* participates in structured running or cycling exercise for at least 30 minutes on 3 or more days per week
* accustomed to exercising for 90 minutes or more
* has regular periods every 21-35 days
* have not taken hormonal contraceptives for at least the past 6 months
* is not currently or trying to become pregnant or breastfeeding, and has not been pregnant or breastfeeding in the past 12 months
* does not currently have a diagnosis of a major menstrual cycle disorder (i.e., amenorrhea, polycystic ovary syndrome \[PCOS\], endometriosis, ovarian cancer, ovarian insufficiency, uterine or endometrial cancer)
* does not currently have a metabolic disease (i.e., hypothyroidism, hyperthyroidism, Cushing disease, Addison's disease, diabetes, congenital adrenal hyperplasia)
* does not currently have a major cardiovascular or respiratory disease

Exclusion Criteria:

* miss more than 7 consecutive days of aerobic activity (i.e., running, cycling, cross training)
* demonstrate clinical low energy availability as defined as energy availability \<30 kcal/kg fat free mass
* report menstrual cycle lengths \<21 or \>35 days in the first 2 months of at-home monitoring
* do not demonstrate an anticipated rise in luteinizing hormone and progesterone in the first 2 months of at-home monitoring
* begin taking a hormonal contraceptive
* become pregnant
* are diagnosed with a menstrual cycle disorder (i.e., amenorrhea, polycystic ovary syndrome \[PCOS\], endometriosis, ovarian cancer, ovarian insufficiency, uterine, or endometrial cancer)
* are diagnosed with a metabolic disease (i.e., hypothyroidism, hyperthyroidism, Cushing disease, Addison's disease, diabetes)
* are diagnosed with a major cardiovascular or respiratory disease
* are unable to follow instructions for any of the procedures",True,FEMALE,,18 Years,40 Years,['ADULT'],,,inclusion criteria     participates in structured running or cycling exercise for at least 30 minutes on 3 or more days per week   accustomed to exercising for 90 minutes or more   has regular periods every 21 35 days   have not taken hormonal contraceptives for at least the past 6 months   is not currently or trying to become pregnant or breastfeeding  and has not been pregnant or breastfeeding in the past 12 months   does not currently have a diagnosis of a major menstrual cycle disorder  i e   amenorrhea  polycystic ovary syndrome   pcos    endometriosis  ovarian cancer  ovarian insufficiency  uterine or endometrial cancer    does not currently have a metabolic disease  i e   hypothyroidism  hyperthyroidism  cushing disease  addison s disease  diabetes  congenital adrenal hyperplasia    does not currently have a major cardiovascular or respiratory disease  exclusion criteria     miss more than 7 consecutive days of aerobic activity  i e   running  cycling  cross training    demonstrate clinical low energy availability as defined as energy availability   30 kcal kg fat free mass   report menstrual cycle lengths   21 or   35 days in the first 2 months of at home monitoring   do not demonstrate an anticipated rise in luteinizing hormone and progesterone in the first 2 months of at home monitoring   begin taking a hormonal contraceptive   become pregnant   are diagnosed with a menstrual cycle disorder  i e   amenorrhea  polycystic ovary syndrome   pcos    endometriosis  ovarian cancer  ovarian insufficiency  uterine  or endometrial cancer    are diagnosed with a metabolic disease  i e   hypothyroidism  hyperthyroidism  cushing disease  addison s disease  diabetes    are diagnosed with a major cardiovascular or respiratory disease   are unable to follow instructions for any of the procedures,
8,NCT05633966,"Inclusion Criteria:

* Acquired hypogonadotropic hypogonadism (hypothalamic amenorrhea, aka functional hypothalamic amenorrhea)

  • Confirmed diagnosis by medical provider supported by low sex steroids in the setting of low or inappropriately normal gonadotropins\]
* Normal blood pressure (systolic BP \< 140 mm Hg, diastolic \< 90 mm Hg)
* Laboratory Studies:

  * Hemoglobin no less than 0.5 g/dL below the lower limit of the reference range for normal women
  * Negative serum hCG pregnancy test at screening (additional urine pregnancy test will be conducted prior to drug administration)
* Not using hormonal replacement or willing to complete an appropriate washout for that particular medication and method of administration
* No current or recent use of a medication that, in the opinion of a study investigator, can modulate the reproductive axis or willing to complete an appropriate washout for that particular medication and method of administration

Exclusion Criteria:

* Any condition (medical, mental, or behavioral) that, in the opinion of a study investigator, would likely interfere with participation in/completion of the protocol
* Excessive alcohol consumption (\>10 drinks/week) and/or active use of illicit drugs

  • Any active use of marijuana will be evaluated by a study medical professional to determine if it may impact study participation. Individuals who regularly use marijuana may be asked to washout as referenced in the medication washout section below
* Pregnant or trying to become pregnant
* Breast feeding
* History of bilateral oophorectomy (ovaries were removed)",False,FEMALE,,18 Years,45 Years,['ADULT'],,,inclusion criteria     acquired hypogonadotropic hypogonadism  hypothalamic amenorrhea  aka functional hypothalamic amenorrhea       confirmed diagnosis by medical provider supported by low sex steroids in the setting of low or inappropriately normal gonadotropins     normal blood pressure  systolic bp    140 mm hg  diastolic    90 mm hg    laboratory studies       hemoglobin no less than 0 5 g dl below the lower limit of the reference range for normal women     negative serum hcg pregnancy test at screening  additional urine pregnancy test will be conducted prior to drug administration    not using hormonal replacement or willing to complete an appropriate washout for that particular medication and method of administration   no current or recent use of a medication that  in the opinion of a study investigator  can modulate the reproductive axis or willing to complete an appropriate washout for that particular medication and method of administration  exclusion criteria     any condition  medical  mental  or behavioral  that  in the opinion of a study investigator  would likely interfere with participation in completion of the protocol   excessive alcohol consumption    10 drinks week  and or active use of illicit drugs      any active use of marijuana will be evaluated by a study medical professional to determine if it may impact study participation  individuals who regularly use marijuana may be asked to washout as referenced in the medication washout section below   pregnant or trying to become pregnant   breast feeding   history of bilateral oophorectomy  ovaries were removed,
